frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
9,11,car,702.9,240.39,758.09,279.79,730.5,260.09,0.777
9,12,car,783.67,269.95,834.81,318.98,809.24,294.47,0.7833
9,13,car,759.82,203.72,800.99,239.18,780.41,221.45,0.6792
9,14,car,0.0,935.65,92.75,1078.08,46.37,1006.87,0.7025
9,15,truck,1325.82,449.44,1404.19,564.0,1365.0,506.72,0.6481
9,16,motorcycle,938.12,673.63,972.78,740.93,955.45,707.28,0.618
9,17,car,1321.45,600.46,1380.12,678.33,1350.79,639.39,0.5372
9,19,car,1298.33,548.33,1365.95,618.51,1332.14,583.42,0.5323
9,20,motorcycle,870.02,429.15,895.29,475.51,882.66,452.33,0.4938
9,21,car,1522.76,838.05,1637.4,951.73,1580.08,894.89,0.2638
9,22,car,952.21,296.63,988.83,349.36,970.52,323.0,0.6032
9,25,car,846.6,176.76,886.6,206.56,866.6,191.66,0.521
9,26,car,827.2,223.35,858.81,264.51,843.01,243.93,0.4022
9,27,motorcycle,1218.99,544.18,1242.88,584.35,1230.93,564.27,0.4736
9,28,motorcycle,942.51,453.66,972.28,502.47,957.4,478.07,0.3454
9,29,car,1265.54,467.35,1315.84,516.24,1290.69,491.79,0.3636
9,30,car,806.78,160.34,842.41,193.31,824.59,176.82,0.4307
9,31,car,1279.31,496.18,1327.75,556.34,1303.53,526.26,0.3814
9,33,car,1248.76,443.02,1293.93,496.78,1271.35,469.9,0.309
9,18,car,364.26,969.65,464.92,1078.41,414.59,1024.03,0.7863
9,46,car,826.32,371.68,873.27,433.91,849.79,402.79,0.4177
9,48,car,1191.35,319.77,1220.51,350.86,1205.93,335.31,0.336
10,1,car,166.48,984.18,295.25,1078.53,230.87,1031.36,0.8103
10,2,bus,616.2,475.85,838.35,789.25,727.28,632.55,0.9434
10,3,car,234.14,591.83,399.62,725.09,316.88,658.46,0.9176
10,4,car,515.27,429.47,619.9,522.12,567.59,475.79,0.8766
10,5,car,525.68,808.56,712.6,1039.58,619.14,924.07,0.8877
10,6,car,1395.86,619.28,1507.78,737.19,1451.82,678.23,0.8651
10,7,car,670.77,367.93,754.67,452.02,712.72,409.97,0.8797
10,8,car,602.27,323.73,675.74,387.17,639.01,355.45,0.8303
10,9,car,566.0,524.04,674.21,641.02,620.11,582.53,0.844
10,10,car,722.0,281.87,774.24,339.45,748.12,310.66,0.8444
10,11,car,700.96,240.8,756.87,280.94,728.91,260.87,0.7845
10,12,car,782.98,270.57,834.23,319.8,808.61,295.19,0.7553
10,13,car,758.71,203.92,800.12,239.68,779.42,221.8,0.6901
10,14,car,0.0,948.07,81.91,1078.1,40.96,1013.09,0.832
10,15,truck,1325.62,448.81,1404.07,563.65,1364.84,506.23,0.6361
10,16,motorcycle,936.76,682.94,971.46,750.16,954.11,716.55,0.6466
10,17,car,1321.35,600.31,1380.46,678.88,1350.9,639.59,0.4914
10,19,car,1297.93,548.19,1365.08,618.96,1331.5,583.58,0.5504
10,20,motorcycle,869.3,431.2,894.74,477.94,882.02,454.57,0.4798
10,21,car,1523.49,838.71,1636.85,951.08,1580.17,894.9,0.3111
10,22,car,951.88,297.51,988.87,350.7,970.38,324.11,0.6436
10,25,car,845.87,176.63,886.04,206.55,865.96,191.59,0.5313
10,26,car,826.56,223.67,858.47,265.47,842.51,244.57,0.2721
10,27,motorcycle,1219.72,545.87,1243.88,586.57,1231.8,566.22,0.5052
10,28,motorcycle,942.21,455.92,972.06,504.99,957.14,480.46,0.3926
10,29,car,1264.93,466.59,1315.93,516.49,1290.43,491.54,0.3408
10,30,car,806.37,160.93,841.35,193.24,823.86,177.08,0.4732
10,31,car,1277.81,495.85,1326.37,555.79,1302.09,525.82,0.3248
10,33,car,1247.13,440.54,1293.83,496.26,1270.48,468.4,0.3232
10,18,car,358.64,984.79,451.62,1078.58,405.13,1031.68,0.8075
10,46,car,825.48,374.0,871.19,434.49,848.33,404.25,0.4343
10,48,car,1191.81,318.81,1221.08,349.98,1206.44,334.39,0.349
10,45,car,1243.03,345.51,1290.55,404.13,1266.79,374.82,0.2749
11,1,car,166.47,1000.95,280.13,1078.42,223.3,1039.68,0.5909
